Date,Open,High,Low,Close,Adj Close,Volume
7/1/2010,8.62,8.97,8.22,8.65,8.154714,9042500
7/2/2010,8.71,8.79,8.06,8.19,7.721051,7280100
7/6/2010,8.5,8.63,8.02,8.08,7.617351,7195200
7/7/2010,8.36,9.35,8.27,9.32,8.786349,14156600
7/8/2010,9.39,9.61,9.12,9.54,8.993752,8351200
7/9/2010,9.49,9.65,9.27,9.54,8.993752,6569400
7/12/2010,9.46,9.63,9.1,9.2,8.673222,6380700
7/13/2010,9.35,9.55,9.29,9.33,8.795778,8415400
7/14/2010,9.28,9.44,9.17,9.28,8.748641,5781100
7/15/2010,9.27,9.29,8.85,9.11,8.588374,6418800
7/16/2010,8.99,9.1,8.85,8.95,8.437536,8012900
7/19/2010,9,9,8.05,8.62,8.126432,15840800
7/20/2010,8.5,8.95,8.5,8.92,8.409254,6788300
7/21/2010,9.45,9.81,9.16,9.21,8.682647,20595500
7/22/2010,9.45,9.95,9.45,9.85,9.286005,14386700
7/23/2010,9.77,10.4,9.76,10.35,9.757377,12390000
7/26/2010,10.4,10.94,10.37,10.91,10.285309,10034700
7/27/2010,11.1,11.15,10.41,10.54,9.936498,10531300
7/28/2010,10.42,10.86,10.4,10.62,10.011914,6602800
7/29/2010,10.74,10.84,10.31,10.66,10.049623,7346000
7/30/2010,10.33,10.9,10.32,10.85,10.228745,8362300
8/2/2010,11,11.4,10.64,10.64,10.03077,14833300
8/3/2010,10.7,10.74,10.22,10.66,10.049623,11759400
8/4/2010,10.77,10.91,9.75,10.03,9.455698,16638900
8/5/2010,10.01,10.02,9.59,9.64,9.088029,10034000
8/6/2010,9.53,9.71,9.32,9.49,8.946612,7772100
8/9/2010,9.63,9.8,9.41,9.73,9.172873,6493700
8/10/2010,9.54,9.83,9.38,9.72,9.163449,6078600
8/11/2010,9.36,9.49,9.02,9.13,8.60723,9429600
8/12/2010,8.93,9.47,8.82,9.23,8.701504,6786200
8/13/2010,9.21,9.35,9.06,9.14,8.616658,3661400
8/16/2010,9.06,9.33,8.95,9.21,8.682647,3448300
8/17/2010,9.32,9.66,9.21,9.5,8.956043,6308400
8/18/2010,9.49,9.71,9.42,9.61,9.059746,3411600
8/19/2010,9.59,9.83,9.19,9.19,8.663795,8988500
8/20/2010,9.11,9.18,8.79,9.1,8.578946,6564900
8/23/2010,9.21,9.48,8.87,8.89,8.380975,6120100
8/24/2010,8.69,8.93,8.53,8.75,8.248988,8075700
8/25/2010,8.71,8.79,8.42,8.78,8.277271,6686200
8/26/2010,8.91,9.02,8.63,8.64,8.145287,3823900
8/27/2010,8.83,9.22,8.4,9.15,8.626083,7776600
8/30/2010,9.23,9.53,8.86,8.87,8.362116,7256700
8/31/2010,8.75,9.2,8.66,9.04,8.522382,7178900
9/1/2010,9.33,9.59,9.17,9.56,9.01261,7020000
9/2/2010,9.59,9.79,9.46,9.65,9.097456,5675800
9/3/2010,9.91,10.17,9.79,9.97,9.399133,4815600
