Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,5.445000,5.584500,5.335000,5.548000,5.548000,170596000
2010-07-02,5.546000,5.564500,5.428000,5.457000,5.457000,89542000
2010-07-06,5.532500,5.626500,5.450000,5.503000,5.503000,104386000
2010-07-07,5.492000,5.681500,5.490500,5.671500,5.671500,98820000
2010-07-08,5.751000,5.874000,5.703500,5.811000,5.811000,135500000
2010-07-09,5.827500,5.870000,5.732500,5.863000,5.863000,81302000
2010-07-12,5.890500,5.985000,5.866000,5.975500,5.975500,95672000
2010-07-13,6.034500,6.244000,6.015000,6.182500,6.182500,141822000
2010-07-14,6.151500,6.187500,6.073500,6.165000,6.165000,105140000
2010-07-15,6.006500,6.124000,5.963000,6.103000,6.103000,120954000
2010-07-16,6.064000,6.096000,5.900500,5.924500,5.924500,124558000
2010-07-19,5.919000,6.037000,5.850000,5.997000,5.997000,100618000
2010-07-20,6.030500,6.035500,5.875500,6.005000,6.005000,135700000
2010-07-21,6.031000,6.062500,5.863000,5.871500,5.871500,100234000
2010-07-22,5.935500,6.043500,5.901000,6.003500,6.003500,300068000
2010-07-23,5.296500,5.964000,5.290000,5.943500,5.943500,848422000
2010-07-26,5.913000,5.930000,5.744000,5.920000,5.920000,222756000
2010-07-27,5.921500,5.925000,5.753500,5.856500,5.856500,155922000
2010-07-28,5.850000,5.910000,5.820000,5.856500,5.856500,109446000
2010-07-29,5.899500,5.943500,5.776000,5.843000,5.843000,123516000
2010-07-30,5.776500,5.937000,5.725500,5.894500,5.894500,141550000
2010-08-02,5.957500,6.019000,5.878500,6.003500,6.003500,108874000
2010-08-03,6.000000,6.143500,5.984000,6.121000,6.121000,119076000
2010-08-04,6.153000,6.423500,6.150000,6.379000,6.379000,185416000
2010-08-05,6.338500,6.400000,6.291000,6.391500,6.391500,85646000
2010-08-06,6.336000,6.420000,6.295000,6.416000,6.416000,101304000
2010-08-09,6.423000,6.496500,6.392500,6.441500,6.441500,101716000
2010-08-10,6.397500,6.500000,6.369000,6.500000,6.500000,114138000
2010-08-11,6.405000,6.406000,6.260000,6.294500,6.294500,110834000
2010-08-12,6.188000,6.350000,6.177500,6.328000,6.328000,87358000
2010-08-13,6.303000,6.374000,6.213000,6.234500,6.234500,79532000
2010-08-16,6.180500,6.368500,6.152000,6.303500,6.303500,80494000
2010-08-17,6.367000,6.499000,6.339500,6.443000,6.443000,100894000
2010-08-18,6.462500,6.540500,6.413000,6.482500,6.482500,158030000
2010-08-19,6.461000,6.501000,6.341000,6.378500,6.378500,111650000
2010-08-20,6.360000,6.402000,6.301000,6.388000,6.388000,83402000
2010-08-23,6.393000,6.461000,6.325000,6.330000,6.330000,77226000
2010-08-24,6.270500,6.272000,6.159000,6.226500,6.226500,107394000
2010-08-25,6.192500,6.368500,6.191500,6.342500,6.342500,106890000
2010-08-26,6.357500,6.379500,6.241000,6.243000,6.243000,93890000
2010-08-27,6.273000,6.332000,6.112500,6.332000,6.332000,101600000
2010-08-30,6.301500,6.347500,6.184500,6.189500,6.189500,68520000
