Date,Open,High,Low,Close,Adj Close,Volume
7/1/2010,5.445,5.5845,5.335,5.548,5.548,170596000
7/2/2010,5.546,5.5645,5.428,5.457,5.457,89542000
7/6/2010,5.5325,5.6265,5.45,5.503,5.503,104386000
7/7/2010,5.492,5.6815,5.4905,5.6715,5.6715,98820000
7/8/2010,5.751,5.874,5.7035,5.811,5.811,135500000
7/9/2010,5.8275,5.87,5.7325,5.863,5.863,81302000
7/12/2010,5.8905,5.985,5.866,5.9755,5.9755,95672000
7/13/2010,6.0345,6.244,6.015,6.1825,6.1825,141822000
7/14/2010,6.1515,6.1875,6.0735,6.165,6.165,105140000
7/15/2010,6.0065,6.124,5.963,6.103,6.103,120954000
7/16/2010,6.064,6.096,5.9005,5.9245,5.9245,124558000
7/19/2010,5.919,6.037,5.85,5.997,5.997,100618000
7/20/2010,6.0305,6.0355,5.8755,6.005,6.005,135700000
7/21/2010,6.031,6.0625,5.863,5.8715,5.8715,100234000
7/22/2010,5.9355,6.0435,5.901,6.0035,6.0035,300068000
7/23/2010,5.2965,5.964,5.29,5.9435,5.9435,848422000
7/26/2010,5.913,5.93,5.744,5.92,5.92,222756000
7/27/2010,5.9215,5.925,5.7535,5.8565,5.8565,155922000
7/28/2010,5.85,5.91,5.82,5.8565,5.8565,109446000
7/29/2010,5.8995,5.9435,5.776,5.843,5.843,123516000
7/30/2010,5.7765,5.937,5.7255,5.8945,5.8945,141550000
8/2/2010,5.9575,6.019,5.8785,6.0035,6.0035,108874000
8/3/2010,6,6.1435,5.984,6.121,6.121,119076000
8/4/2010,6.153,6.4235,6.15,6.379,6.379,185416000
8/5/2010,6.3385,6.4,6.291,6.3915,6.3915,85646000
8/6/2010,6.336,6.42,6.295,6.416,6.416,101304000
8/9/2010,6.423,6.4965,6.3925,6.4415,6.4415,101716000
8/10/2010,6.3975,6.5,6.369,6.5,6.5,114138000
8/11/2010,6.405,6.406,6.26,6.2945,6.2945,110834000
8/12/2010,6.188,6.35,6.1775,6.328,6.328,87358000
