Date,Open,High,Low,Close,Adj Close,Volume
7/1/2010,19.43,19.620001,19,19.25,13.121057,88020000
7/2/2010,19.209999,19.370001,18.959999,19.200001,13.086976,58093400
7/6/2010,19.549999,19.76,19.25,19.48,13.27783,60697600
7/7/2010,19.459999,20.17,19.389999,20.139999,13.72769,72806800
7/8/2010,20.34,20.360001,19.83,20.1,13.700435,65407600
7/9/2010,20.059999,20.280001,19.959999,20.24,13.795854,52843800
7/12/2010,20.309999,20.65,20.299999,20.57,14.020784,56587900
7/13/2010,20.969999,22.280001,20.82,21.01,14.320693,103191800
7/14/2010,22.059999,22.25,21.280001,21.360001,14.559257,199002600
7/15/2010,21.34,21.59,21.01,21.51,14.661511,118558200
7/16/2010,21.43,21.48,21,21.02,14.327514,80451500
7/19/2010,21.17,21.610001,21.16,21.59,14.716032,63430400
7/20/2010,21.16,21.73,21.1,21.65,14.756929,72666400
7/21/2010,21.57,21.65,21.18,21.26,14.491105,71775300
7/22/2010,21.35,21.98,21.34,21.780001,14.845536,74465500
7/23/2010,21.639999,21.719999,21.33,21.690001,14.784193,62115500
7/26/2010,21.68,21.74,21.41,21.709999,14.797828,50929500
7/27/2010,21.68,21.74,21.389999,21.58,14.709212,53975800
7/28/2010,21.639999,21.690001,21.290001,21.33,14.538813,51673900
7/29/2010,21.389999,21.48,20.76,21.030001,14.334332,83811400
7/30/2010,20.77,20.92,20.58,20.6,14.041241,67395900
8/2/2010,20.9,21.280001,20.73,21.15,14.416121,50316200
8/3/2010,21.01,21.030001,20.709999,20.870001,14.225265,60929200
8/4/2010,20.809999,20.860001,20.450001,20.73,14.23763,85639700
8/5/2010,20.639999,20.790001,20.459999,20.67,14.196426,44475000
8/6/2010,20.450001,20.809999,20.41,20.65,14.182683,50833800
8/9/2010,20.790001,20.790001,20.41,20.65,14.182683,46082800
8/10/2010,20.110001,20.17,19.700001,19.82,13.612636,136352400
8/11/2010,19.530001,19.58,19.299999,19.43,13.344775,99079200
8/12/2010,19.17,19.73,19.08,19.450001,13.358512,86580600
8/13/2010,19.33,19.49,19.15,19.15,13.152472,57384800
8/16/2010,19.139999,19.559999,19.110001,19.469999,13.372247,48721100
8/17/2010,19.719999,19.870001,19.5,19.530001,13.413457,60836400
8/18/2010,19.530001,19.780001,19.469999,19.59,13.454666,58982400
8/19/2010,18.969999,19.129999,18.809999,18.9,12.980766,159900400
8/20/2010,18.92,19,18.76,18.91,12.987639,95174400
8/23/2010,18.92,18.98,18.6,18.700001,12.843404,71954400
8/24/2010,18.559999,18.68,18.389999,18.41,12.644229,75107400
8/25/2010,18.26,18.59,18.18,18.48,12.692305,63350600
8/26/2010,18.6,18.610001,18.120001,18.18,12.486257,69586000
8/27/2010,18.23,18.52,17.809999,18.370001,12.616755,135184300
8/30/2010,18.25,18.309999,17.940001,17.959999,12.335158,73718900
8/31/2010,17.879999,17.92,17.6,17.67,12.135983,111601400
9/1/2010,17.940001,18.27,17.889999,18.139999,12.45879,73611500
9/2/2010,18.23,18.33,18.08,18.280001,12.55494,53192100
9/3/2010,18.52,18.59,18.200001,18.43,12.657967,59143200
9/7/2010,18.360001,18.41,18.049999,18.120001,12.445054,58636500
9/8/2010,18.040001,18.049999,17.75,17.9,12.293953,101747000
9/9/2010,18.049999,18.08,17.93,18,12.362633,65019600
9/10/2010,17.950001,18.1,17.84,17.969999,12.342028,68814700
9/13/2010,18.219999,18.559999,18.200001,18.559999,12.747252,73870900
9/14/2010,18.530001,18.799999,18.34,18.74,12.870872,64479500
9/15/2010,18.73,18.77,18.540001,18.719999,12.857137,56107300
9/16/2010,18.700001,18.98,18.58,18.969999,13.028841,69165800
9/17/2010,19.030001,19.08,18.67,18.809999,12.918951,70436600
9/20/2010,18.889999,18.959999,18.690001,18.93,13.001372,44935100
9/21/2010,18.879999,19.27,18.84,19.139999,13.1456,69131400
9/22/2010,19.040001,19.25,18.889999,19.01,13.056311,61569400
9/23/2010,18.85,19.309999,18.75,18.98,13.035711,51954700
9/24/2010,19.23,19.450001,19.18,19.42,13.337909,55749300
9/27/2010,19.4,19.43,19.18,19.24,13.214279,51071000
9/28/2010,19.309999,19.57,19.1,19.51,13.399722,61019600
9/29/2010,19.48,19.620001,19.120001,19.24,13.214279,62484300
9/30/2010,19.34,19.6,19.110001,19.200001,13.18681,75382200
10/1/2010,19.469999,20.35,18.879999,19.32,13.269229,41275000
10/4/2010,19.25,19.299999,18.77,18.870001,12.960164,67082000
10/5/2010,19.08,19.290001,19.030001,19.15,13.152472,61004600
10/6/2010,19.209999,19.370001,19.129999,19.309999,13.262358,54990000
10/7/2010,19.370001,19.540001,19.209999,19.4,13.324171,51794600
10/8/2010,19.4,19.58,19.209999,19.52,13.40659,46528700
10/11/2010,19.59,19.75,19.530001,19.559999,13.434061,52722400
10/12/2010,19.65,19.799999,19.440001,19.77,13.578293,94743400
10/13/2010,19.98,20.030001,19.16,19.24,13.214279,173827300
10/14/2010,19.309999,19.459999,19.200001,19.32,13.269229,59255900
10/15/2010,19.440001,19.469999,19.200001,19.32,13.269229,64052800
10/18/2010,19.26,19.32,18.969999,19.190001,13.179943,54985100
10/19/2010,19.01,19.389999,18.9,19.209999,13.193677,85409800
10/20/2010,19.299999,19.780001,19.290001,19.639999,13.489006,84884600
10/21/2010,19.75,19.860001,19.57,19.76,13.571426,74287500
10/22/2010,19.790001,19.93,19.75,19.84,13.62637,50129800
10/25/2010,19.950001,20,19.799999,19.870001,13.646978,45769400
10/26/2010,19.790001,20.110001,19.73,20.040001,13.763735,56344600
10/27/2010,19.93,20.200001,19.809999,20.190001,13.866759,48151900
10/28/2010,20.290001,20.530001,20.02,20.469999,14.059059,71144000
10/29/2010,20.450001,20.559999,20.01,20.049999,13.770604,60774400
11/1/2010,20.35,20.67,20.34,20.57,14.127742,51593700
11/2/2010,20.639999,20.700001,20.290001,20.34,13.96978,60959100
11/3/2010,20.34,20.52,20.219999,20.48,14.176048,53044600
11/4/2010,20.66,21.02,20.559999,20.969999,14.515224,66048200
11/5/2010,21.01,21.290001,20.969999,21.24,14.702117,55960500
11/8/2010,21.34,21.5,21.17,21.23,14.695191,53006900
11/9/2010,21.200001,21.35,21.030001,21.16,14.646738,46639500
11/10/2010,21.15,21.17,20.82,21.040001,14.563672,48072100
11/11/2010,20.690001,21.23,20.549999,21.209999,14.681345,69682800
11/12/2010,21.440001,21.809999,21.33,21.530001,14.902843,100662400
11/15/2010,21.65,21.66,21.26,21.299999,14.743648,50076900
11/16/2010,21.129999,21.27,20.879999,21.07,14.584439,62890100
11/17/2010,21.02,21.219999,20.93,21.08,14.59136,44262100
11/18/2010,21.049999,21.24,20.92,21.02,14.549834,68847000
11/19/2010,20.969999,21.200001,20.879999,21.139999,14.632891,49134200
11/22/2010,20.92,21.280001,20.879999,21.25,14.709039,40328600
11/23/2010,21.040001,21.219999,20.809999,21.09,14.598288,44856200
11/24/2010,21.23,21.57,21.17,21.389999,14.805943,42449700
11/26/2010,21.24,21.43,21.1,21.34,14.771333,19147500
11/29/2010,21.15,21.450001,21.120001,21.33,14.764413,46887900
11/30/2010,21.18,21.299999,21.07,21.16,14.646738,52406500
12/1/2010,21.459999,21.6,21.42,21.48,14.868236,52939300
12/2/2010,21.5,21.77,21.48,21.700001,15.020521,48095800
12/3/2010,21.629999,21.780001,21.620001,21.690001,15.013601,43907400
12/6/2010,21.610001,21.76,21.549999,21.700001,15.020521,31861200
12/7/2010,21.84,21.860001,21.58,21.58,14.937453,46991400
12/8/2010,21.690001,21.9,21.66,21.82,15.10358,68959600
12/9/2010,22.01,22.07,21.719999,21.809999,15.096664,79874700
12/10/2010,21.91,21.98,21.799999,21.91,15.165875,52407700
12/13/2010,22.01,22.02,21.34,21.5,14.882082,78296300
12/14/2010,21.4,21.559999,21.299999,21.469999,14.861319,41699300
12/15/2010,21.35,21.5,21.280001,21.280001,14.729795,42701400
12/16/2010,21.35,21.389999,21.25,21.299999,14.743648,35224900
12/17/2010,21.309999,21.49,21.27,21.459999,14.854396,57138100
12/20/2010,21.389999,21.43,21.200001,21.23,14.695191,34211900
12/21/2010,21.27,21.27,21.08,21.1,14.605206,34102300
12/22/2010,20.950001,21.02,20.809999,20.889999,14.459843,49206900
12/23/2010,20.84,20.92,20.700001,20.84,14.425235,27960800
12/27/2010,20.75,20.860001,20.65,20.84,14.425235,18604300
12/28/2010,20.809999,20.93,20.76,20.879999,14.452925,21169600
12/29/2010,20.940001,21.059999,20.879999,20.940001,14.494457,20848400
12/30/2010,20.950001,21.08,20.93,21.02,14.549834,18876000
12/31/2010,21.030001,21.059999,20.940001,21.030001,14.556758,15743700
1/3/2011,21.01,21.049999,20.780001,20.85,14.432161,58223800
1/4/2011,21.120001,21.200001,21.049999,21.15,14.639817,75206200
1/5/2011,21.190001,21.209999,20.9,20.940001,14.494457,61810500
1/6/2011,20.67,20.82,20.549999,20.77,14.376782,116669000
1/7/2011,20.709999,20.77,20.27,20.66,14.300643,74806100
1/10/2011,20.709999,20.77,20.57,20.690001,14.321408,51449700
1/11/2011,20.83,21.120001,20.74,21.049999,14.570593,64452600
1/12/2011,21.27,21.33,21.07,21.299999,14.743648,53380600
1/13/2011,21.26,21.32,21.08,21.290001,14.736722,104066300
1/14/2011,21.35,21.42,20.969999,21.08,14.59136,154888800
1/18/2011,21.030001,21.200001,20.940001,21.08,14.59136,55272100
1/19/2011,21.07,21.129999,20.950001,21.01,14.542908,43339000
1/20/2011,20.940001,20.950001,20.620001,20.950001,14.501379,56170800
1/21/2011,20.950001,21.040001,20.809999,20.82,14.411393,63697600
1/24/2011,21.030001,21.24,20.93,21.24,14.702117,82375700
1/25/2011,21.280001,21.57,21.17,21.549999,14.916689,72327200
1/26/2011,21.77,21.9,21.66,21.75,15.05513,57196100
1/27/2011,21.76,21.940001,21.65,21.75,15.05513,58069200
1/28/2011,21.76,21.889999,21.35,21.459999,14.854396,55193100
1/31/2011,21.549999,21.639999,21.030001,21.459999,14.854396,90844300
2/1/2011,21.49,21.700001,21.280001,21.48,14.868236,60971000
2/2/2011,21.48,21.709999,21.469999,21.559999,14.923615,46928100
2/3/2011,21.41,21.65,21.299999,21.57,15.056939,39846000
2/4/2011,21.469999,21.700001,21.43,21.68,15.133728,39353500
2/7/2011,21.74,21.860001,21.629999,21.690001,15.140708,43643100
2/8/2011,21.65,21.68,21.4,21.639999,15.105805,48215100
2/9/2011,21.530001,21.6,21.42,21.459999,14.98016,44601400
2/10/2011,21.43,21.84,21.35,21.799999,15.217491,56661800
2/11/2011,21.629999,21.85,21.52,21.76,15.189569,43716600
2/14/2011,21.629999,21.799999,21.5,21.57,15.056939,45134600
2/15/2011,21.48,21.549999,21.280001,21.450001,14.973177,50640200
2/16/2011,21.57,21.879999,21.43,21.75,15.18259,55214100
2/17/2011,21.68,22.059999,21.67,21.969999,15.336166,50185500
2/18/2011,22.09,22.209999,22.01,22.139999,15.454831,55060500
2/22/2011,21.950001,22.190001,21.73,21.809999,15.224478,64515600
2/23/2011,21.700001,21.719999,21.01,21.15,14.763757,83648300
2/24/2011,21.1,21.41,21.030001,21.290001,14.861484,54496400
2/25/2011,21.52,22,21.459999,21.860001,15.259376,53475700
2/28/2011,21.75,21.84,21.370001,21.469999,14.987135,66390100
3/1/2011,21.610001,21.690001,21.35,21.389999,14.93129,57987400
3/2/2011,21.42,21.700001,21.4,21.49,15.001107,52192300
3/3/2011,21.66,21.879999,21.65,21.790001,15.210516,50504000
3/4/2011,21.879999,22.08,21.4,21.559999,15.04996,64664800
3/7/2011,21.690001,21.74,21.08,21.209999,14.805641,57520200
3/8/2011,21.26,21.26,21.02,21.129999,14.749804,57165700
3/9/2011,21.08,21.34,20.940001,21.200001,14.798665,60415900
3/10/2011,20.940001,21.02,20.719999,20.790001,14.512462,69121300
3/11/2011,20.629999,20.959999,20.610001,20.870001,14.568309,45640700
3/14/2011,20.66,20.879999,20.620001,20.84,14.547365,48954200
3/15/2011,20.23,20.33,20.01,20.18,14.086652,80464000
3/16/2011,20.030001,20.370001,19.709999,19.809999,13.828374,84812700
3/17/2011,20.02,20.059999,19.799999,19.9,13.891199,59048300
3/18/2011,19.98,20.15,19.879999,19.93,13.912134,74001300
3/21/2011,19.9,20.389999,19.879999,20.190001,14.093629,43392300
3/22/2011,20.18,20.209999,19.98,20.15,14.06571,45962800
3/23/2011,20.09,20.360001,20.01,20.290001,14.163439,37924600
3/24/2011,20.51,20.51,20.280001,20.379999,14.226259,49378300
3/25/2011,20.299999,20.6,20.209999,20.370001,14.219281,52478400
3/28/2011,20.440001,20.66,20.33,20.34,14.19834,37109400
3/29/2011,20.27,20.290001,19.98,20.280001,14.156458,59545200
3/30/2011,20.42,20.459999,20.110001,20.459999,14.282106,54565700
3/31/2011,20.290001,20.370001,19.940001,20.18,14.086652,87528000
4/1/2011,20.379999,20.379999,19.559999,19.719999,13.765548,82621500
4/4/2011,19.790001,19.799999,19.360001,19.49,13.604996,69372800
4/5/2011,19.59,19.879999,19.549999,19.709999,13.758566,62605700
4/6/2011,19.860001,19.950001,19.709999,19.950001,13.9261,56267400
4/7/2011,19.92,20.09,19.82,20.030001,13.981945,51606400
4/8/2011,20.040001,20.200001,19.950001,20.02,13.974965,46474900
4/11/2011,20.07,20.200001,20.01,20.120001,14.044769,43166300
4/12/2011,20.01,20.07,19.690001,19.76,13.793474,52110300
4/13/2011,19.879999,19.950001,19.719999,19.780001,13.807431,38977500
4/14/2011,19.639999,19.66,19.41,19.58,13.667824,52706900
4/15/2011,19.6,19.75,19.530001,19.75,13.78649,44283000
4/18/2011,19.530001,19.74,19.450001,19.620001,13.695746,46481400
4/19/2011,19.67,19.98,19.620001,19.860001,13.863282,81426500
4/20/2011,21.209999,21.440001,20.940001,21.41,14.945252,174554500
4/21/2011,21.389999,21.49,21.190001,21.459999,14.98016,77640100
4/25/2011,21.370001,22.01,21.33,21.940001,15.315221,81676700
4/26/2011,21.82,22.530001,21.809999,22.48,15.692159,105300000
4/27/2011,22.540001,22.68,22.33,22.629999,15.796877,68452900
4/28/2011,22.450001,22.870001,22.450001,22.799999,15.915545,55000000
4/29/2011,22.799999,23.190001,22.629999,23.15,16.159864,156189000
5/2/2011,23.02,23.18,22.809999,22.91,15.992327,71970500
5/3/2011,22.809999,23.459999,22.67,23.23,16.215706,110500000
5/4/2011,23.049999,23.559999,22.719999,23.5,16.532993,137107200
5/5/2011,23.43,23.860001,23.17,23.610001,16.61039,94292200
5/6/2011,23.459999,23.59,23.129999,23.25,16.357115,100005900
