Date,Open,High,Low,Close,Adj Close,Volume
7/1/2010,2.56,2.6125,2.4825,2.595,2.382176,73700800
7/2/2010,2.605,2.61,2.475,2.5625,2.352342,73709600
7/6/2010,2.5525,2.635,2.5125,2.535,2.327098,71202000
7/7/2010,2.545,2.6725,2.54,2.6575,2.43955,60841200
7/8/2010,2.675,2.6775,2.545,2.5775,2.366112,78327200
7/9/2010,2.59,2.605,2.555,2.5875,2.375292,57151600
7/12/2010,2.5875,2.6675,2.585,2.635,2.418895,56539600
7/13/2010,2.6775,2.7475,2.6625,2.73,2.506105,72331600
7/14/2010,2.85,2.87,2.7175,2.7575,2.531349,135566400
7/15/2010,2.76,2.7625,2.6475,2.68,2.460205,95308800
7/16/2010,2.68,2.6875,2.5025,2.5125,2.306442,128860400
7/19/2010,2.5475,2.625,2.53,2.615,2.400537,79844000
7/20/2010,2.5475,2.695,2.525,2.68,2.460205,116098800
7/21/2010,2.705,2.7075,2.5675,2.5925,2.379881,62494000
7/22/2010,2.62,2.6625,2.605,2.635,2.418895,46261200
7/23/2010,2.6325,2.635,2.565,2.59,2.377587,81760400
7/26/2010,2.5825,2.6475,2.5425,2.6375,2.421191,68354800
7/27/2010,2.645,2.65,2.5825,2.615,2.400537,68347200
7/28/2010,2.5725,2.6175,2.525,2.5325,2.324802,132080800
7/29/2010,2.35,2.4,2.2675,2.2825,2.095306,266447600
7/30/2010,2.265,2.3375,2.23,2.2975,2.109075,98428800
8/2/2010,2.3375,2.3475,2.285,2.295,2.106781,91702000
8/3/2010,2.2775,2.28,2.2175,2.235,2.051701,95544400
8/4/2010,2.255,2.3375,2.245,2.33,2.13891,85549600
8/5/2010,2.3375,2.365,2.295,2.36,2.166449,80050400
8/6/2010,2.35,2.4125,2.33,2.3875,2.191693,73990400
8/9/2010,2.4125,2.415,2.3525,2.41,2.212349,46645600
8/10/2010,2.37,2.375,2.3,2.31,2.12055,77256000
8/11/2010,2.2625,2.2625,2.2125,2.22,2.037931,79614800
8/12/2010,2.18,2.29,2.1625,2.24,2.056291,134358400
8/13/2010,2.3125,2.38,2.3075,2.3475,2.154975,179739200
8/16/2010,2.315,2.3625,2.2575,2.2875,2.099895,81400800
8/17/2010,2.31,2.36,2.2875,2.3175,2.127435,48122400
8/18/2010,2.31,2.35,2.295,2.33,2.13891,35292000
8/19/2010,2.355,2.4775,2.3425,2.47,2.267428,161510000
8/20/2010,2.4525,2.5525,2.45,2.4925,2.288083,130530800
8/23/2010,2.5,2.5625,2.4475,2.455,2.253659,74862000
8/24/2010,2.375,2.455,2.37,2.43,2.230708,64133200
8/25/2010,2.4025,2.5,2.39,2.48,2.276607,75753200
8/26/2010,2.5125,2.54,2.45,2.45,2.249068,65759600
8/27/2010,2.465,2.55,2.4025,2.53,2.322507,106041600
8/30/2010,2.5,2.52,2.41,2.41,2.212349,60280400
8/31/2010,2.375,2.45,2.325,2.3325,2.141205,93148800
9/1/2010,2.3675,2.3975,2.3375,2.35,2.157269,85144000
9/2/2010,2.3575,2.4,2.335,2.3925,2.196284,59629200
9/3/2010,2.45,2.4825,2.42,2.475,2.272018,56648400
